TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,LAT,LON,NEIGHBOURHOOD
Mischief,2011,6,25,10.0,0.0,49.24899968755772,-123.12211912930094,South Cambie
Other Theft,2011,2,2,19.0,44.0,49.29163560617708,-123.13532840024025,West End
Other Theft,2011,5,29,14.0,13.0,49.28229119090357,-123.1183292309066,Central Business District
Mischief,2011,12,12,15.0,15.0,49.24898925296162,-123.12169300865582,South Cambie
Break and Enter Residential/Other,2011,8,23,20.0,41.0,49.21213573453697,-123.15133051233214,Kerrisdale
Other Theft,2011,3,9,16.0,8.0,49.28189803821785,-123.12073833861001,Central Business District
Break and Enter Residential/Other,2011,5,31,2.0,26.0,49.292583320740974,-123.13709697597653,West End
Break and Enter Residential/Other,2011,5,28,2.0,0.0,49.292583320740974,-123.13709697597653,West End
Theft from Vehicle,2011,3,22,21.0,30.0,49.264061209395294,-123.16382914056388,Kitsilano
Mischief,2011,9,25,3.0,52.0,49.2514582954978,-123.044233344038,Renfrew-Collingwood
Mischief,2011,5,26,11.0,0.0,49.253260887841336,-123.17400434377717,Dunbar-Southlands
Mischief,2011,5,16,9.0,41.0,49.28494098535295,-123.11539831623773,Central Business District
Mischief,2011,5,18,7.0,0.0,49.28494098535295,-123.11539831623773,Central Business District
Mischief,2011,10,19,23.0,11.0,49.28494098535295,-123.11539831623773,Central Business District
Theft from Vehicle,2011,11,12,17.0,0.0,49.25375318144243,-123.10100751470296,Riley Park
Break and Enter Residential/Other,2011,5,23,23.0,50.0,49.292823083835124,-123.1374402217797,West End
Break and Enter Residential/Other,2011,5,23,22.0,0.0,49.292823083835124,-123.1374402217797,West End
Break and Enter Residential/Other,2011,7,11,7.0,30.0,49.29300660653827,-123.13787532037406,West End
Other Theft,2011,12,19,17.0,27.0,49.284714052752804,-123.11484089188697,Central Business District
Other Theft,2011,11,29,18.0,12.0,49.284714052752804,-123.11484089188697,Central Business District
Other Theft,2011,11,18,9.0,44.0,49.284714052752804,-123.11484089188697,Central Business District
Theft from Vehicle,2011,11,6,16.0,0.0,49.276659255812916,-123.06286935055009,Grandview-Woodland
Theft of Vehicle,2011,4,18,20.0,0.0,49.257799384146814,-123.1287205794981,Fairview
Other Theft,2011,1,9,18.0,53.0,49.28189803821785,-123.12073833861001,Central Business District
Break and Enter Residential/Other,2011,10,8,14.0,12.0,49.25285589234753,-123.14885420517429,Shaughnessy
Other Theft,2011,2,3,12.0,40.0,49.29193173621185,-123.13470457243352,West End
Theft from Vehicle,2011,2,2,17.0,30.0,49.20558906724166,-123.13475529055096,Marpole
Theft from Vehicle,2011,7,18,22.0,0.0,49.277941454021054,-123.11351464938419,Central Business District
Theft from Vehicle,2011,10,21,22.0,0.0,49.22826147026841,-123.18607418646876,Kerrisdale
Mischief,2011,6,15,10.0,0.0,49.24012507471776,-123.12372768449707,South Cambie
Other Theft,2011,4,4,18.0,29.0,49.258386598871816,-123.0319321151232,Renfrew-Collingwood
Theft from Vehicle,2011,1,7,23.0,0.0,49.278473418422664,-123.06685040734942,Grandview-Woodland
Mischief,2011,8,1,16.0,14.0,49.27925814556808,-123.10327950013782,Central Business District
Mischief,2011,11,14,21.0,10.0,49.2511894600873,-123.05653612429876,Renfrew-Collingwood
Mischief,2011,7,9,1.0,3.0,49.2511894600873,-123.05653612429876,Renfrew-Collingwood
Break and Enter Residential/Other,2011,6,24,19.0,9.0,49.2704189416983,-123.06464750474184,Grandview-Woodland
Theft of Vehicle,2011,1,7,18.0,34.0,49.217124828947526,-123.13066383377675,Marpole
Break and Enter Residential/Other,2011,6,24,20.0,45.0,49.27042378574251,-123.06515173317956,Grandview-Woodland
Theft of Vehicle,2011,1,24,12.0,0.0,49.26514183910906,-123.12821310504955,Fairview
Break and Enter Residential/Other,2011,11,3,2.0,0.0,49.26231769917766,-123.06413690527536,Grandview-Woodland
Theft from Vehicle,2011,8,16,12.0,0.0,49.264865439710974,-123.16340653354814,Kitsilano
