TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,LAT,LON,NEIGHBOURHOOD
Break and Enter Residential/Other,2008,7,22,5.0,0.0,49.28410047500697,-123.09742689055135,Strathcona
Mischief,2008,11,23,3.0,19.0,49.27915749278267,-123.0848192730069,Strathcona
Break and Enter Residential/Other,2008,4,17,13.0,0.0,49.242355111857435,-123.12758999040251,South Cambie
Theft of Bicycle,2008,7,3,12.0,56.0,49.258862041639944,-123.10118272239656,Mount Pleasant
Theft from Vehicle,2008,3,15,9.0,15.0,49.262875054396524,-123.09965361388447,Mount Pleasant
Theft from Vehicle,2008,6,20,16.0,0.0,49.285782114796966,-123.12657568019127,West End
Break and Enter Residential/Other,2008,10,10,22.0,0.0,49.246239764197064,-123.12597870291673,South Cambie
Theft from Vehicle,2008,3,17,8.0,30.0,49.218268666129276,-123.09304379013709,Sunset
Break and Enter Residential/Other,2008,5,14,6.0,30.0,49.283677591316206,-123.1049490663289,Central Business District
Mischief,2008,3,20,5.0,53.0,49.27045828188621,-123.06955052849922,Grandview-Woodland
Break and Enter Residential/Other,2008,3,5,15.0,15.0,49.25082585358106,-123.12568408343797,South Cambie
Break and Enter Residential/Other,2008,1,2,8.0,0.0,49.25082585358106,-123.12568408343797,South Cambie
Other Theft,2008,1,2,15.0,51.0,49.28928029033113,-123.13216069887973,West End
Other Theft,2008,1,14,16.0,6.0,49.28928029033113,-123.13216069887973,West End
Other Theft,2008,1,18,12.0,49.0,49.28928029033113,-123.13216069887973,West End
Other Theft,2008,1,20,12.0,27.0,49.28928029033113,-123.13216069887973,West End
Other Theft,2008,1,29,13.0,0.0,49.28928029033113,-123.13216069887973,West End
Theft of Bicycle,2008,6,27,0.0,0.0,49.25937405579156,-123.12907059729353,Fairview
Other Theft,2008,2,5,14.0,45.0,49.28928029033113,-123.13216069887973,West End
Break and Enter Residential/Other,2008,10,13,13.0,7.0,49.281685881632576,-123.10524334447186,Central Business District
Theft from Vehicle,2008,7,26,14.0,0.0,49.285782114796966,-123.12657568019127,West End
Other Theft,2008,2,12,14.0,43.0,49.28928029033113,-123.13216069887973,West End
Theft from Vehicle,2008,8,26,23.0,45.0,49.26769573551368,-123.0630202980699,Grandview-Woodland
Other Theft,2008,2,16,4.0,37.0,49.28928029033113,-123.13216069887973,West End
Other Theft,2008,2,24,9.0,12.0,49.28928029033113,-123.13216069887973,West End
Other Theft,2008,3,2,21.0,11.0,49.28928029033113,-123.13216069887973,West End
Other Theft,2008,3,3,16.0,25.0,49.28928029033113,-123.13216069887973,West End
Other Theft,2008,3,11,11.0,41.0,49.28928029033113,-123.13216069887973,West End
Other Theft,2008,3,31,20.0,38.0,49.28928029033113,-123.13216069887973,West End
Theft from Vehicle,2008,4,24,23.0,30.0,49.219146459928986,-123.09444187426742,Sunset
Other Theft,2008,8,21,11.0,14.0,49.23872184886516,-123.06546582978811,Kensington-Cedar Cottage
Other Theft,2008,5,24,15.0,32.0,49.23872184886516,-123.06546582978811,Kensington-Cedar Cottage
Theft of Bicycle,2008,10,2,9.0,0.0,49.24237569940005,-123.17230068589268,Dunbar-Southlands
Other Theft,2008,4,8,2.0,20.0,49.28928029033113,-123.13216069887973,West End
