TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,LAT,LON,NEIGHBOURHOOD
Theft from Vehicle,2010,11,3,9.0,15.0,49.25824678245622,-123.06980067169054,Kensington-Cedar Cottage
Theft from Vehicle,2010,3,20,21.0,0.0,49.28023699905252,-123.11758790663794,Central Business District
Theft from Vehicle,2010,3,8,15.0,0.0,49.28023699905252,-123.11758790663794,Central Business District
Mischief,2010,2,20,17.0,1.0,49.27947274742446,-123.07915150148041,Strathcona
Theft from Vehicle,2010,1,10,1.0,0.0,49.258381016872086,-123.07765411991667,Mount Pleasant
Theft from Vehicle,2010,9,10,0.0,0.0,49.27329629006972,-123.04164307759919,Hastings-Sunrise
Theft from Vehicle,2010,9,9,19.0,0.0,49.27329629006972,-123.04164307759919,Hastings-Sunrise
Theft from Vehicle,2010,9,23,9.0,43.0,49.26659121113874,-123.1126145356733,Mount Pleasant
Theft from Vehicle,2010,3,2,9.0,0.0,49.28023699905252,-123.11758790663794,Central Business District
Theft from Vehicle,2010,9,11,0.0,0.0,49.27329744226554,-123.04243203675027,Hastings-Sunrise
Mischief,2010,2,21,0.0,0.0,49.262242188296746,-123.11769000908795,Fairview
Mischief,2010,6,2,0.0,0.0,49.256933397955066,-123.11969963474019,South Cambie
Mischief,2010,2,19,23.0,26.0,49.25614342669618,-123.11997065149382,South Cambie
Other Theft,2010,3,23,16.0,24.0,49.2681087554474,-123.15498098755661,Kitsilano
Other Theft,2010,4,1,15.0,23.0,49.2681087554474,-123.15498098755661,Kitsilano
Mischief,2010,6,3,17.0,20.0,49.250703880839296,-123.11931906123696,South Cambie
Mischief,2010,3,13,1.0,0.0,49.250696195168196,-123.11892137707049,South Cambie
Theft from Vehicle,2010,12,11,2.0,0.0,49.28325644455943,-123.10079826028976,Central Business District
Mischief,2010,9,21,21.0,19.0,49.23379388061149,-123.1203005861431,South Cambie
Theft from Vehicle,2010,12,31,15.0,0.0,49.273217075638605,-123.04350604348693,Hastings-Sunrise
Theft from Vehicle,2010,11,9,12.0,0.0,49.27821500698239,-123.08329512800874,Strathcona
Theft from Vehicle,2010,1,11,22.0,0.0,49.28147655041002,-123.13276874990248,West End
Theft from Vehicle,2010,12,11,13.0,0.0,49.28147113972952,-123.13293703033297,West End
Theft from Vehicle,2010,12,11,11.0,0.0,49.28147113972952,-123.13293703033297,West End
Theft from Vehicle,2010,12,21,2.0,0.0,49.27558012660793,-123.13007166023417,Central Business District
Theft from Vehicle,2010,9,11,22.0,0.0,49.273217075638605,-123.04350604348693,Hastings-Sunrise
Theft from Vehicle,2010,6,14,2.0,0.0,49.2674323223348,-123.11087844560033,Mount Pleasant
Theft from Vehicle,2010,6,3,4.0,30.0,49.27668692166195,-123.10909871754085,Central Business District
Mischief,2010,3,11,0.0,0.0,49.2337444068535,-123.11891034884468,South Cambie
Mischief,2010,2,3,17.0,59.0,49.23352408125696,-123.11850363836272,Oakridge
Mischief,2010,4,5,17.0,50.0,49.23352408125696,-123.11850363836272,Oakridge
Other Theft,2010,7,10,14.0,12.0,49.268179911155265,-123.15423879459152,Kitsilano
Mischief,2010,8,10,13.0,0.0,49.23352408125696,-123.11850363836272,Oakridge
Theft from Vehicle,2010,7,14,3.0,34.0,49.252666489272485,-123.08364720434894,Kensington-Cedar Cottage
Mischief,2010,8,15,12.0,43.0,49.23352408125696,-123.11850363836272,Oakridge
