TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,LAT,LON,NEIGHBOURHOOD
Theft from Vehicle,2016,11,15,19.0,30.0,49.28384917365416,-123.10157773242446,Central Business District
Theft from Vehicle,2016,3,11,14.0,0.0,49.23717011002694,-123.09517793443072,Riley Park
Theft from Vehicle,2016,11,21,13.0,4.0,49.284036528050045,-123.10097915424869,Central Business District
Theft from Vehicle,2016,10,26,22.0,0.0,49.23616459432136,-123.09499206389978,Riley Park
Theft from Vehicle,2016,12,14,18.0,0.0,49.23105416037774,-123.09710908363358,Sunset
Theft from Vehicle,2016,12,5,18.0,0.0,49.23022768081974,-123.09667452521249,Sunset
Theft from Vehicle,2016,6,20,17.0,0.0,49.23012883439646,-123.09568841024208,Sunset
Theft from Vehicle,2016,3,27,0.0,0.0,49.23021105376618,-123.09568513519521,Sunset
Theft from Vehicle,2016,6,8,15.0,30.0,49.23011126018322,-123.09463707440052,Sunset
Theft from Vehicle,2016,3,6,20.0,0.0,49.22926024235473,-123.09720858081862,Sunset
Theft from Vehicle,2016,12,20,23.0,0.0,49.22929287274324,-123.09496446687909,Sunset
Theft from Vehicle,2016,1,25,16.0,0.0,49.22835049442135,-123.09674104761939,Sunset
Theft from Vehicle,2016,3,1,0.0,0.0,49.22842381516185,-123.09629920301339,Sunset
Theft from Vehicle,2016,6,22,14.0,0.0,49.22665305283206,-123.0963531713228,Sunset
Other Theft,2016,3,27,18.0,42.0,49.2813103830592,-123.07411716115587,Grandview-Woodland
Theft from Vehicle,2016,4,12,2.0,0.0,49.22548804543499,-123.09431950343411,Sunset
Theft from Vehicle,2016,7,6,17.0,30.0,49.224594799609726,-123.09737425995445,Sunset
Theft from Vehicle,2016,7,10,20.0,30.0,49.22457822462961,-123.09643744535997,Sunset
Theft from Vehicle,2016,4,12,5.0,0.0,49.22455399696255,-123.09506333289356,Sunset
Theft from Vehicle,2016,7,6,17.0,30.0,49.22366519977324,-123.09470414389556,Sunset
Theft from Vehicle,2016,8,29,22.0,0.0,49.28978364708172,-123.13505035585239,West End
Theft from Vehicle,2016,7,15,0.0,0.0,49.22092218485503,-123.09697758253135,Sunset
Theft from Vehicle,2016,7,24,19.0,0.0,49.28978364708172,-123.13505035585239,West End
Theft from Vehicle,2016,6,4,5.0,30.0,49.28978364708172,-123.13505035585239,West End
Theft from Vehicle,2016,10,1,19.0,0.0,49.21917390834289,-123.09756519985461,Sunset
Theft from Vehicle,2016,4,15,20.0,0.0,49.21925274619194,-123.09709159009098,Sunset
Theft from Vehicle,2016,7,31,20.0,0.0,49.21924534761907,-123.09604242670783,Sunset
Theft from Vehicle,2016,11,12,15.0,0.0,49.21924526645749,-123.0960318526678,Sunset
Theft from Vehicle,2016,4,21,22.0,30.0,49.21716216259657,-123.09546234391475,Sunset
Theft from Vehicle,2016,5,22,22.0,15.0,49.28404865060721,-123.10017643635986,Central Business District
Theft from Vehicle,2016,1,30,23.0,0.0,49.26617880488006,-123.09561817633285,Mount Pleasant
Theft from Vehicle,2016,8,23,22.0,0.0,49.26617880488006,-123.09561817633285,Mount Pleasant
Theft from Vehicle,2016,10,9,21.0,0.0,49.26617880488006,-123.09561817633285,Mount Pleasant
Theft from Vehicle,2016,5,27,22.0,37.0,49.28404865060721,-123.10017643635986,Central Business District
Theft from Vehicle,2016,2,14,22.0,30.0,49.26613590747503,-123.09451310687766,Mount Pleasant
Theft from Vehicle,2016,5,18,16.0,0.0,49.21418938381458,-123.09482952834257,Sunset
Other Theft,2016,1,11,11.0,18.0,49.26860733922936,-123.18568661362514,Kitsilano
Theft from Vehicle,2016,4,22,14.0,0.0,49.284138452424806,-123.09982997253003,Central Business District
Theft from Vehicle,2016,8,9,13.0,30.0,49.28414060774897,-123.09972987449524,Central Business District
Theft from Vehicle,2016,3,17,18.0,0.0,49.265246007127125,-123.09572111136015,Mount Pleasant
Theft from Vehicle,2016,6,27,1.0,0.0,49.265305264979524,-123.094213939107,Mount Pleasant
Theft from Vehicle,2016,6,13,19.0,0.0,49.26522131842208,-123.09390863873743,Mount Pleasant
Theft from Vehicle,2016,9,14,23.0,0.0,49.26442444039152,-123.09576309334545,Mount Pleasant
Theft from Vehicle,2016,12,19,22.0,0.0,49.26343629237412,-123.09590137581691,Mount Pleasant
Theft from Vehicle,2016,1,30,23.0,0.0,49.263436129580896,-123.09588075864085,Mount Pleasant
Theft from Vehicle,2016,12,29,10.0,37.0,49.29034609690077,-123.13575654758482,West End
Theft from Vehicle,2016,12,29,10.0,11.0,49.29034609690077,-123.13575654758482,West End
Theft from Vehicle,2016,1,4,18.0,0.0,49.29034609690077,-123.13575654758482,West End
Theft from Vehicle,2016,10,23,21.0,0.0,49.263422116496905,-123.0939960760822,Mount Pleasant
Theft from Vehicle,2016,7,1,22.0,55.0,49.28216387187172,-123.09530794699769,Strathcona
Theft from Vehicle,2016,7,1,23.0,54.0,49.28216327486523,-123.09526834648746,Strathcona
Theft from Vehicle,2016,7,22,11.0,15.0,49.28216327486523,-123.09526834648746,Strathcona
Theft from Vehicle,2016,6,9,14.0,10.0,49.28215553813566,-123.09472232799837,Strathcona
Theft from Vehicle,2016,7,5,7.0,59.0,49.28123247742468,-123.0953489130814,Strathcona
Theft from Vehicle,2016,6,10,10.0,30.0,49.2738415343616,-123.11905949235776,Central Business District
Theft from Vehicle,2016,9,13,2.0,11.0,49.2812317005284,-123.09530931296979,Strathcona
Theft from Vehicle,2016,9,26,10.0,7.0,49.28131400797644,-123.09530740915739,Strathcona
Theft from Vehicle,2016,10,19,11.0,11.0,49.28131400797644,-123.09530740915739,Strathcona
