TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,LAT,LON,NEIGHBOURHOOD
Break and Enter Residential/Other,2009,6,26,6.0,36.0,49.28401911609814,-123.09747733134257,Strathcona
Other Theft,2009,2,5,14.0,38.0,49.28276101526348,-123.11761824539828,Central Business District
Theft of Bicycle,2009,8,15,1.0,0.0,49.25922456384166,-123.1049967085416,Mount Pleasant
Theft of Bicycle,2009,2,13,17.0,57.0,49.258610542004234,-123.03364947633048,Renfrew-Collingwood
Theft from Vehicle,2009,9,12,19.0,0.0,49.2783991958686,-123.11150591021243,Central Business District
Other Theft,2009,2,5,15.0,59.0,49.28276101526348,-123.11761824539828,Central Business District
Mischief,2009,9,26,10.0,48.0,49.2741316092908,-123.12487320324581,Central Business District
Mischief,2009,10,13,18.0,0.0,49.240397399811485,-123.14424702619186,Shaughnessy
Theft from Vehicle,2009,1,23,14.0,19.0,49.282302085287796,-123.10209732274218,Central Business District
Break and Enter Residential/Other,2009,12,10,15.0,55.0,49.28077656398262,-123.10573061284616,Central Business District
Mischief,2009,9,26,10.0,10.0,49.2741316092908,-123.12487320324581,Central Business District
Other Theft,2009,2,5,17.0,55.0,49.28276101526348,-123.11761824539828,Central Business District
Theft of Bicycle,2009,4,13,13.0,5.0,49.276469214776476,-123.04199481535461,Hastings-Sunrise
Mischief,2009,1,9,3.0,13.0,49.26069972650953,-123.09354079568519,Mount Pleasant
Mischief,2009,10,3,14.0,15.0,49.26718268917281,-123.15098031118431,Kitsilano
Theft of Bicycle,2009,8,9,20.0,0.0,49.25812564977743,-123.06591587690058,Kensington-Cedar Cottage
Other Theft,2009,1,17,9.0,5.0,49.23872184886516,-123.06546582978811,Kensington-Cedar Cottage
Theft of Bicycle,2009,8,8,18.0,0.0,49.241401245656746,-123.17169582579618,Dunbar-Southlands
Other Theft,2009,2,8,13.0,7.0,49.28276101526348,-123.11761824539828,Central Business District
Theft of Bicycle,2009,5,17,19.0,30.0,49.23753661358106,-123.17260393362123,Dunbar-Southlands
Theft from Vehicle,2009,7,23,14.0,0.0,49.264616226763486,-123.1427319976149,Fairview
Mischief,2009,12,6,2.0,32.0,49.2834767376707,-123.1091156210901,Central Business District
Theft from Vehicle,2009,2,2,22.0,0.0,49.22003976736609,-123.09324019436397,Sunset
Theft from Vehicle,2009,8,25,20.0,0.0,49.21998245456568,-123.09480325922834,Sunset
Other Theft,2009,2,8,17.0,40.0,49.28276101526348,-123.11761824539828,Central Business District
Other Theft,2009,2,9,14.0,27.0,49.28276101526348,-123.11761824539828,Central Business District
Theft from Vehicle,2009,5,19,2.0,1.0,49.22094691432297,-123.09382815361678,Sunset
Mischief,2009,8,2,3.0,53.0,49.2834767376707,-123.1091156210901,Central Business District
Mischief,2009,5,27,1.0,8.0,49.2834767376707,-123.1091156210901,Central Business District
Theft from Vehicle,2009,6,6,20.0,0.0,49.27753179488186,-123.12361403866,Central Business District
Other Theft,2009,2,10,12.0,31.0,49.28276101526348,-123.11761824539828,Central Business District
Break and Enter Residential/Other,2009,9,17,19.0,0.0,49.285117445892666,-123.05977164343801,Grandview-Woodland
Mischief,2009,8,20,3.0,10.0,49.212385939927216,-123.1185680273139,Marpole
Mischief,2009,4,7,20.0,16.0,49.2834767376707,-123.1091156210901,Central Business District
Mischief,2009,2,7,15.0,2.0,49.2834767376707,-123.1091156210901,Central Business District
Mischief,2009,1,11,0.0,30.0,49.2834767376707,-123.1091156210901,Central Business District
Other Theft,2009,2,11,14.0,22.0,49.28276101526348,-123.11761824539828,Central Business District
Mischief,2009,9,2,0.0,0.0,49.21517754323311,-123.1539455664237,Kerrisdale
Break and Enter Residential/Other,2009,8,21,21.0,7.0,49.22384104313889,-123.10512058314468,Sunset
Other Theft,2009,2,11,19.0,4.0,49.28276101526348,-123.11761824539828,Central Business District
Theft from Vehicle,2009,7,25,23.0,0.0,49.236309133445246,-123.11625852429695,South Cambie
Theft from Vehicle,2009,9,4,19.0,0.0,49.27753179488186,-123.12361403866,Central Business District
Theft from Vehicle,2009,1,31,4.0,25.0,49.2772884298953,-123.08964355132984,Strathcona
Theft from Vehicle,2009,1,14,17.0,0.0,49.285782114796966,-123.12657568019127,West End
Theft of Bicycle,2009,4,15,13.0,42.0,49.2815582688095,-123.10501400440297,Central Business District
Theft of Bicycle,2009,8,28,10.0,15.0,49.28073396592273,-123.10549100756285,Central Business District
Other Theft,2009,8,9,14.0,55.0,49.22908796968169,-123.09069975540996,Sunset
Theft from Vehicle,2009,5,14,18.0,25.0,49.26452934079281,-123.14236118502059,Fairview
Other Theft,2009,8,25,15.0,19.0,49.22744286796712,-123.09076143399727,Sunset
Theft from Vehicle,2009,12,24,8.0,0.0,49.22555650798824,-123.09364556588145,Sunset
Other Theft,2009,2,12,13.0,26.0,49.28276101526348,-123.11761824539828,Central Business District
Theft from Vehicle,2009,9,3,10.0,0.0,49.26684704245833,-123.07266499817972,Grandview-Woodland
Mischief,2009,12,13,22.0,27.0,49.280496435359844,-123.10276016198262,Central Business District
Theft from Vehicle,2009,11,17,11.0,0.0,49.27753179488186,-123.12361403866,Central Business District
Theft of Bicycle,2009,8,5,20.0,30.0,49.28385728180005,-123.10636256080116,Central Business District
Break and Enter Residential/Other,2009,5,15,0.0,45.0,49.22657252272992,-123.19054153521967,Kerrisdale
Mischief,2009,9,12,23.0,31.0,49.23849158252727,-123.04254151133752,Renfrew-Collingwood
Theft of Bicycle,2009,7,19,0.0,0.0,49.27453450522296,-123.11994719679761,Central Business District
Theft from Vehicle,2009,7,25,15.0,32.0,49.285782114796966,-123.12657568019127,West End
Other Theft,2009,2,13,10.0,23.0,49.28276101526348,-123.11761824539828,Central Business District
Other Theft,2009,2,13,21.0,13.0,49.28276101526348,-123.11761824539828,Central Business District
Theft from Vehicle,2009,8,1,8.0,30.0,49.285782114796966,-123.12657568019127,West End
Mischief,2009,1,12,20.0,0.0,49.2813943384495,-123.13715519096708,West End
Theft from Vehicle,2009,11,2,20.0,0.0,49.285782114796966,-123.12657568019127,West End
Theft from Vehicle,2009,8,15,22.0,0.0,49.26332475330363,-123.12406056849608,Fairview
Theft from Vehicle,2009,9,5,22.0,0.0,49.26332475330363,-123.12406056849608,Fairview
Other Theft,2009,2,14,17.0,18.0,49.28276101526348,-123.11761824539828,Central Business District
Other Theft,2009,10,17,9.0,52.0,49.283904332883374,-123.11160151206292,Central Business District
Other Theft,2009,2,14,18.0,34.0,49.28276101526348,-123.11761824539828,Central Business District
Other Theft,2009,2,15,14.0,50.0,49.28276101526348,-123.11761824539828,Central Business District
Other Theft,2009,2,19,16.0,21.0,49.28276101526348,-123.11761824539828,Central Business District
Other Theft,2009,2,19,20.0,3.0,49.28276101526348,-123.11761824539828,Central Business District
Theft from Vehicle,2009,8,19,0.0,0.0,49.25978472561294,-123.13624484571146,Fairview
Theft from Vehicle,2009,11,15,14.0,15.0,49.285782114796966,-123.12657568019127,West End
Theft from Vehicle,2009,12,12,16.0,8.0,49.285782114796966,-123.12657568019127,West End
Mischief,2009,5,29,22.0,0.0,49.21317000370882,-123.11730064273411,Marpole
Break and Enter Residential/Other,2009,12,1,9.0,30.0,49.24521117978279,-123.1930099658735,Dunbar-Southlands
Theft of Bicycle,2009,9,4,12.0,59.0,49.28344649850537,-123.10416124316444,Central Business District
Break and Enter Residential/Other,2009,5,17,14.0,45.0,49.251119429025756,-123.19144287078527,Dunbar-Southlands
Theft of Bicycle,2009,10,3,12.0,0.0,49.28344649850537,-123.10416124316444,Central Business District
Break and Enter Residential/Other,2009,5,10,15.0,10.0,49.25104128286057,-123.19256604428894,Dunbar-Southlands
Break and Enter Residential/Other,2009,8,24,0.0,0.0,49.25112451420471,-123.19282044214391,Dunbar-Southlands
Theft of Bicycle,2009,10,23,21.0,0.0,49.27140333469117,-123.09952493775594,Strathcona
Theft of Bicycle,2009,6,12,20.0,0.0,49.283195103454666,-123.10212322901755,Central Business District
Mischief,2009,2,12,0.0,31.0,49.28344655638542,-123.1092610309277,Central Business District
Other Theft,2009,2,20,16.0,35.0,49.28276101526348,-123.11761824539828,Central Business District
Other Theft,2009,2,22,17.0,49.0,49.28276101526348,-123.11761824539828,Central Business District
Theft from Vehicle,2009,7,29,12.0,30.0,49.30082343144737,-123.13024633609618,Stanley Park
Theft from Vehicle,2009,1,19,19.0,15.0,49.26665749006265,-123.11491444104696,Fairview
Other Theft,2009,2,24,14.0,42.0,49.28276101526348,-123.11761824539828,Central Business District
Theft from Vehicle,2009,12,14,20.0,0.0,49.23008361513902,-123.09278852238081,Sunset
Theft from Vehicle,2009,3,17,19.0,30.0,49.23008361513902,-123.09278852238081,Sunset
Theft of Bicycle,2009,6,18,22.0,19.0,49.274485960274,-123.12198159312184,Central Business District
Theft of Bicycle,2009,9,27,17.0,0.0,49.274485960274,-123.12198159312184,Central Business District
Theft from Vehicle,2009,12,3,12.0,0.0,49.26750681129846,-123.1367271384273,Fairview
Theft from Vehicle,2009,8,12,19.0,0.0,49.25121427772237,-123.1153253175323,Riley Park
Theft from Vehicle,2009,4,25,19.0,0.0,49.208645724247624,-123.0299741125411,Killarney
Other Theft,2009,2,25,15.0,18.0,49.28276101526348,-123.11761824539828,Central Business District
Theft of Bicycle,2009,7,22,15.0,15.0,49.27420191762746,-123.12170154216474,Central Business District
Mischief,2009,6,11,0.0,0.0,49.26467276432116,-123.15083712827418,Kitsilano
Theft of Bicycle,2009,8,27,16.0,30.0,49.274182700980035,-123.12167015044896,Central Business District
Theft from Vehicle,2009,3,26,22.0,30.0,49.279780242063524,-123.11650421525515,Central Business District
Break and Enter Residential/Other,2009,1,17,0.0,0.0,49.25554538070956,-123.1910986998906,Dunbar-Southlands
Other Theft,2009,2,25,15.0,33.0,49.28276101526348,-123.11761824539828,Central Business District
Break and Enter Residential/Other,2009,6,23,8.0,54.0,49.256463283013346,-123.19205722000865,Dunbar-Southlands
Theft from Vehicle,2009,3,12,20.0,30.0,49.279780242063524,-123.11650421525515,Central Business District
Theft of Bicycle,2009,5,3,18.0,0.0,49.26103914223738,-123.09838259135975,Mount Pleasant
Theft of Bicycle,2009,7,1,16.0,0.0,49.26103914223738,-123.09838259135975,Mount Pleasant
Other Theft,2009,2,26,17.0,33.0,49.28276101526348,-123.11761824539828,Central Business District
Theft of Bicycle,2009,7,8,22.0,0.0,49.26103914223738,-123.09838259135975,Mount Pleasant
Theft of Bicycle,2009,9,11,20.0,30.0,49.26103914223738,-123.09838259135975,Mount Pleasant
Other Theft,2009,2,27,14.0,0.0,49.28276101526348,-123.11761824539828,Central Business District
Other Theft,2009,3,1,17.0,30.0,49.28276101526348,-123.11761824539828,Central Business District
Theft from Vehicle,2009,9,18,18.0,45.0,49.263400372714315,-123.12375329213229,Fairview
Break and Enter Residential/Other,2009,10,29,22.0,0.0,49.262610912691336,-123.19322721841824,West Point Grey
Other Theft,2009,3,2,16.0,56.0,49.28276101526348,-123.11761824539828,Central Business District
Theft from Vehicle,2009,2,10,15.0,0.0,49.24454378052738,-123.09396738195208,Riley Park
Mischief,2009,4,24,16.0,0.0,49.22555194141383,-123.11673759953513,Oakridge
Theft of Bicycle,2009,4,9,18.0,0.0,49.258410590995126,-123.09908486535473,Mount Pleasant
Theft from Vehicle,2009,4,14,0.0,0.0,49.245634405564275,-123.09280158282293,Riley Park
Theft from Vehicle,2009,10,19,19.0,30.0,49.22938037870839,-123.10396965677435,Sunset
Theft from Vehicle,2009,9,11,16.0,0.0,49.279082173373546,-123.08123012565213,Strathcona
Theft from Vehicle,2009,4,14,10.0,0.0,49.20866283532833,-123.02989682646644,Killarney
Theft of Bicycle,2009,6,14,5.0,58.0,49.257466085739566,-123.1011696990164,Mount Pleasant
Theft from Vehicle,2009,1,31,19.0,0.0,49.277389437549274,-123.12574771770204,Central Business District
Theft from Vehicle,2009,6,29,0.0,0.0,49.246680892798175,-123.0933822695972,Riley Park
Theft of Bicycle,2009,5,18,0.0,0.0,49.25660890253607,-123.10027439810658,Mount Pleasant
Theft from Vehicle,2009,3,1,15.0,57.0,49.263391030734184,-123.12332045247926,Fairview
Other Theft,2009,3,2,17.0,20.0,49.28276101526348,-123.11761824539828,Central Business District
Other Theft,2009,3,4,15.0,57.0,49.28276101526348,-123.11761824539828,Central Business District
Break and Enter Residential/Other,2009,9,9,16.0,0.0,49.263566020285424,-123.19274493799912,West Point Grey
Theft from Vehicle,2009,12,17,23.0,0.0,49.251912185522905,-123.09301301207549,Riley Park
Other Theft,2009,3,4,16.0,29.0,49.28276101526348,-123.11761824539828,Central Business District
Theft from Vehicle,2009,12,23,23.0,0.0,49.263391030734184,-123.12332045247926,Fairview
Other Theft,2009,3,9,19.0,10.0,49.28276101526348,-123.11761824539828,Central Business District
Other Theft,2009,3,10,14.0,46.0,49.28276101526348,-123.11761824539828,Central Business District
Other Theft,2009,3,12,10.0,30.0,49.28276101526348,-123.11761824539828,Central Business District
Other Theft,2009,3,12,15.0,50.0,49.28276101526348,-123.11761824539828,Central Business District
Theft from Vehicle,2009,5,12,15.0,0.0,49.25381212823907,-123.09360473518333,Riley Park
Theft from Vehicle,2009,6,17,16.0,0.0,49.277389437549274,-123.12574771770204,Central Business District
Theft from Vehicle,2009,10,12,21.0,0.0,49.25300647588915,-123.1152455308118,Riley Park
Mischief,2009,5,3,22.0,50.0,49.281819717136564,-123.10643572678092,Central Business District
Theft of Bicycle,2009,9,29,15.0,20.0,49.26893846322776,-123.10005497785612,Mount Pleasant
Mischief,2009,6,26,22.0,30.0,49.22555194141383,-123.11673759953513,Oakridge
Theft from Vehicle,2009,5,7,19.0,0.0,49.254642905592334,-123.09374180351003,Riley Park
Theft from Vehicle,2009,5,25,15.0,0.0,49.247668755085066,-123.0814886953847,Kensington-Cedar Cottage
Theft from Vehicle,2009,6,29,9.0,0.0,49.28795376932444,-123.1178625833623,Central Business District
Theft of Bicycle,2009,2,27,17.0,20.0,49.268365220569116,-123.09940501013354,Mount Pleasant
Mischief,2009,7,15,0.0,9.0,49.281819717136564,-123.10643572678092,Central Business District
Theft from Vehicle,2009,9,3,19.0,0.0,49.26353330161145,-123.18781461928494,West Point Grey
Break and Enter Residential/Other,2009,9,6,0.0,0.0,49.24906489877267,-123.05228978218264,Renfrew-Collingwood
Mischief,2009,12,9,22.0,5.0,49.24456228097137,-123.0651416081823,Kensington-Cedar Cottage
Theft from Vehicle,2009,5,27,10.0,5.0,49.25490392275638,-123.11516048640362,Riley Park
Mischief,2009,12,18,18.0,30.0,49.263833950321306,-123.15118959682232,Kitsilano
Break and Enter Residential/Other,2009,1,30,7.0,30.0,49.25100414876799,-123.15439551810555,Arbutus Ridge
